body,link
"به گزارش ""ورزش سه""، موراتا گزینه اصلی منچستریونایتد برای تقویت خط حمله بود اما رئالی ها انتقام قضیه دخیا را گرفتند و حاضر به واگذاری موراتا به شیاطین سرخ نشدند.,یونایتد قصد داشت برای جذب موراتا 80 میلیون یورو هزینه کند ولی رئالی ها از موضع خود که دریافت 90 میلیون یورو بود کوتاه نیامدند و در نهایت شیاطین سرخ لوکاکو را با 85 میلیون یورو به خدمت گرفتند.به این ترتیب موراتا بدون اینکه وضعیت آینده اش مشخص باشد، از امروز به تمرینات پیش فصل رئال اضافه خواهد شد., , , , ,در همین راستا امروز آس گزارش داد که به زودی پیشنهادی 80 میلیون یورویی از سوی چلسی برای موراتا به باشگاه رئال خواهد رسید و به سبب روابط بسیار خوب دو باشگاه، مسئولان رئال قصد ندارند با این پیشنهاد مخالفت کنند و حاضر خواهند شد تا زمینه برای انتقال موراتا به باشگاه لندنی را هموار کنند.,به ادعای این منبع، قرارداد موراتا 4 یا 5 ساله خواهد بود ورقمی بیش از 6 میلیون یورو در سال که از رئال دریافت می کند نیز نصیب وی خواهد شد. چلسی پس از اینکه کونته نسبت به کاستا اعلام بی نیازی کرد، در جستجوی یک مهاجم است و احتمالا قرعه به نام موراتا خواهد افتاد., ",http://www.varzesh3.com/news/1426473/رئال-و-تبعیض-آشکار-بین-چلسی-و-من-یونایتد
"به گزارش ""ورزش سه""، ژوزه مورینیو دو روز پیش توانست روملو لوکاکو را از چنگ چلسی خارج کرده و پیراهن سرخ رنگ را بر تن این ستاره بلژیکی کند و به نظر می رسد که همین کار را با باکایوکو نیز انجام خواهد داد., , , , ,یکی دو هفته است که بحث پیوستن ستاره موناکو به چلسی در رسانه های انگلیسی مطرح شده ولی ممکن است به زودی شاهد سرخپوش شدن این بازیکن باشیم.,به ادعای دیلی استار، پس از اینکه چلسی حاضر نشد نمانیا ماتیچ را به یونایتد واگذار کند، شیاطین سرخ برای جذب باکایوکو اقدام کردند و با وجود پیشرفت مذاکرات این بازیکن با چلسی، در نهایت توانستند با وی به توافق نهایی برسند.,در صورتیکه این انتقال انجام شود، یونایتد به فاصله چند روز برای دومین بار از چلسی یک ستاره بزرگ را ربوده است., , ",http://www.varzesh3.com/news/1426493/یونایتد-و-دومین-سرقت-بزرگ-از-چلسی
"به گزارش ""ورزش سه""، آینده خامس رودریگز، ستاره کلمبیایی رئال مادرید در هاله ای از ابهام قرار دارد. او در آخرین بازی فصل گذشته رئال در برنابئو با هواداران رئال وداع گفت و بسیاری انتظار داشتند تا به امروز وضعیت نهایی او مشخص شده باشد ولی هنوز هیچ تیمی به صورت رسمی برای جذب او با رئال وارد مذاکرده نشده است و خامس باید در اردوی آمریکای رئال حاضر شود., , , , ,امروزخاویر هرناندز بونت، مدیر کاراکول تی وی ادعا کرد که به زودی بایرن مونیخ پیشنهادی رسمی برای جذب خامس ارائه خواهد داد و این تیم آلمانی را جدی ترین خواهان خامس دانست.,در صورتیکه این انتقال انجام شود، خامس یک بار دیگر زیر نظر آنچلوتی قرار خواهد گرفت.,او بهترین فصل فوتبالی خود را با کارلتو در رئال تجربه کرد. فصل 2014-15 خامس 17 گل زد و 18 پاس گل داد ولی با جدایی مربی ایتالیایی از رئال، افت خامس هم شروع شد؛ به طوریکه عملکرد او در دو فصل گذشته، فاصله آشکاری با سال اول حضور خامس در رئال داشت: فصل 2015-16؛  32 بازی، 8 گل و 10 پاس گل و فصل گذشته 33 بازی، 11 گل و 13 پاس گل., ",http://www.varzesh3.com/news/1426484/بایرن،-جدی-ترین-مشتری-هافبک-رئال-مادرید
"به گزارش ""ورزش سه""، دنیس سوارز، هافبک جوان بارسا که تا 10 روز دیگر نیز اجازه استراحت داشت، از دو روز دیگر تمرینات خود را از سر خواهد گرفت. او می تواند الگوی مناسبی برای بازیکنانی باشد که فصل گذشته ناامیدکننده ظاهر شدند., , , , ,بارسلونا به فاصله 48 ساعت تا شروع تمرینات پیش فصل، به جز دلوفئو هنوز نتوانسته بازیکن جدیدی به خدمت بگیرد. پرونده نقل و انتقالاتی بارسلونا هنوز باز است و این تیم در خط هافبک و دفاع راست نیاز به جذب بازیکن دارد.,وراتی و بیرین گزینه های اول بارسا هستند و پس از این دو، پائولینیو و سمدو قرار دارند که جذب همه آنها با دشواری های زیادی همراه است اما بارسا بهتر است برای جذب بازیکن عجله کند؛ چرا که تجربه خریدهای 5 سال اخیر بلوگرانا نشان می دهد که بازیکنانی که قبل از شروع تمرینات پیش فصل جذب شده اند، همواره عملکردی بهتر نسبت به بازیکنانی داشته اند که در اواسط یا اواخر فصل نقل و انتقالات به بارسا اضافه شده اند., , ,از سال 2012 بارسا 18 بازیکن جدید را به خدمت گرفته که تنها سوارز، آلبا، نیمار، راکیتیچ، کلودیو براوو و اومتیتی توانستند به ترکیب اصلی راه یابند. هر 6 بازیکن نیز یک وجه مشترک دارند؛ آنها پیش از شروع تمرینات پیش فصل جذب شده بودند. , ,بازیکنانی چون الکس سانگ، آلکاسر، آندره گومس، فرمالن و داگلاس که دیر به بارسا پیوستند، نمونه های روشنی هستند که ثابت می کنند بهتر است بارسا در خرید بازیکن کمی تعجیل به خرج دهد., ",http://www.varzesh3.com/news/1426499/48-ساعت-تعیین-کننده-برای-خریدهای-تابستانی-بارسا
"به گزارش ""ورزش سه""، به ادعای ایندیپندنت، باشگاه منچستریونایتد بسیار امیدوار است که تا هفته آینده بر سر انتقال 50 میلیون پوندی با اینتر برای جذب پریشیچ به توافق نهایی برسد.,پیش از این اینتر یک پیشنهاد 30 میلیون پوندی از سوی یونایتد را رد کرده است ولی احتمالا با رقمی بین 45 تا 50 میلیون پوند موافقت خواهند کرد., , , , ,اسپالتی، سرمربی اینتر نیز امروز در مصاحبه با خبرنگاران و در واکنش به شایعه یونایتدی شدن پریشیچ گفت:« من از شما شنیده ام که پرشیچ علاقه دارد به یونایتد برود ولی باید با خود او صحبت کنم و به زودی این کار را انجام خواهم داد.,در وهله اول همه چیز به خود بازیکن ارتباط دارد و اگر او بخواهد به یونایتد برود، نمی توان مانعش شد. الان برای نتیجه گیری زود است و باید از زبان خود پریشیچ بشنوم که قصد جدایی دارد. به عنوان مربی اینتر روی او حساب کرده ام اما اگر بخواهد جدا شود، کاری از ما ساخته نیست. امیدوارم به من نگوید که قصد دارد راهی یونایتد شود.», ",http://www.varzesh3.com/news/1426526/اسپالتی-نمی-توان-مانع-پیوستن-پریشیچ-به-یونایتد-شد
" ,به گزارش ""ورزش سه""، با بررسی اخبار در می یابیم که جنگ کونته و مورینیو دیگر تنها مختص به بازی های رو در روی شیاطن سرخ و آبی های لندن در لیگ جزیره نیست و در بازار نقل و انتقالات نیز این دو سرمربی صاحب سبک در مقابل یکدیگر صف آرایی کرده اند., ,اولین مورد قابل بحث میان کونته و مورینیو، بحث انتقال روملو لوکاکو به چلسی بود که این مهاجم 24 ساله و بلژیکی در ساعت آخر تغییر مسیر داد و راهی اولدترافورد شد تا خشم سرمربی ایتالیایی برانگیخته شود., , , , ,اخبار حاکی از آن است که کونته در تابستان امسال چند بار تلفنی با لوکاکو در مورد انتقال به چلسی صحبت کرده بود و قول نهایی را از وی برای حضور در استمفوردبریج گرفته بود اما تماس روز چهارشنبه آقای خاص و البته مثلث پول، پوگبا و مینو رایولا در نهایت باعث انتقال یکی از مهم ترین بازیکنان فصول اخیر لیگ جزیره به ترکیب شیاطین سرخ شد., ,البته جنگ خاموش میان آنتونیو و ژوزه تنها محدود به انتقال لوکاکو نشد و حالا تیمو باکایوکو، هافبک جوان و قدرتی موناکو نیز در آستانه حضور در اولدترافورد قرار گرفته است., , , , ,مورینیو در بازار نقل و انتقالات تابستانی به دنبال جذب نمانیا ماتیچ، ستاره صرب خط میانی چلسی بود و بعد از انتقال لوکاکو، سران چلسی از ادامه مذاکرات برای این انتقال صرف نظر کردند تا مورینیو برای تقویت این پست باکایوکو را در نظر بگیرد., ,باکایوکو یکی از ارکان مهم نتایج درخشان موناکو در فصل قبل و صعود به نیمه نهایی لیگ قهرمانان بود و بسیاری سبک بازی او را مشابه انگولو کانته، ستاره خط میانی چلسی می دانند., , , , ,از این هافبک جوان نیز در ماه های اخیر به عنوان یکی از اهداف اصلی کونته در بازار تابستانی نام برده شده بود و با انتقال احتمالی به یونایتد، یک هدف مهم دیگر کونته نیز به اردوی رقیب مهاجرت خواهد کرد., ,گزینه سوم مورد بحث میان دو قدرت بزرگ لیگ جزیره، خامس رودریگز ستاره کلمبیایی و 26 ساله کهکشانی هاست که وی نیز در لیست مازاد زیدان قرار دارد و با توجه به حضور سبایوس، دیگر جایی در برنابئو نخواهد داشت., , , , ,از چلسی، یونایتد و پاری سن ژرمن به عنوان جدی ترین مشتریان این هافبک خلاق نام برده شده اما دیروز برخی رسانه های جزیره فاش کردند که خامس قلبا علاقمند به حضور در اولدترافورد است و با توجه به شباهت سبک بازی او و هازارد، بسیاری یونایتد را مقصد بهتری برای آقای گل جام جهانی 2014 می دانند., ,حتی آنتونیو رودیگر، مدافع آلمانی رم نیز که دیروز رسما به چلسی ملحق شد مورد توجه آقای خاص قرار گرفته بود اما آبی های لندن در این مورد موفق عمل کرده و این مدافع آینده دار را به ترکیب خود اضافه کردند., ,به هر حال در بازار نقل و انتقالات تابستانی و تا امروز، شیاطین سرخ برتری قابل توجهی به رقیب پایتخت نشین خود داشته اند و مورینیو اگرچه فصل موفقی را در عرصه داخلی حداقل برابر کونته سپری نکرد، اما تا به حال موفق به فتح جنگ غیرعلنی قبل از شروع لیگ شده است., ,سان",http://www.varzesh3.com/news/1426521/جنگ-پنهان-مورینیو-و-کونته-در-بازار-تابستانی
" ,به گزارش ""ورزش سه""، بعد از داستان عجیب منتقی شدن انتقال کاستاس مانولاس به زنیت، اخبار زیادی در مورد پیشنهاد چند تیم بزرگ از جمله بارسا، رئال و اینتر برای جذب این مدافع یونانی شنیده می شود اما به نظر می رسد بلوگرانا از شرایط بهتری برای جذب مانولاس برخوردار است., , , , ,دیروز مدیر برنامه مانولاس اخبار مربوط به پیشنهاد بارسلونا را تایید کرد و حالا نشریه اسپورت ادعا می کند که این تیم نسبت به دیگر رقبای خود از شرایط بهتری برای جذب این مدافع یونانی برخوردار است و بعید نیست اگر مانولاس را به زودی در بین بازیکنان جدید بارسا ببینیم., ,زمانی که در تابستان سال گذشته بارسلونا توماس فرمالن را به طور قرضی راهی رم کرد، مذاکرات در مورد فروش مانولاس به کاتالان ها آغاز شده بود و حالا امسال می تواند این انتقال به سرانجام برسد.",http://www.varzesh3.com/news/1426538/بارسلونا-در-آستانه-جذب-مدافع-جالوروسی
" ,به گزارش ""ورزش سه""، بعد از انتقال جنجالی لوکاکو به یونایتد، بسیاری همکاری نافرجام او و مورینیو در چلسی را دلیلی بر ناکامی احتمالی این انتقال می دانستند اما سرمربی پرتغالی یونایتد از سالهای دور به لوکاکو علاقمند بوده است., , , , ,نشریه ""موندو دیپورتیوو"" فاش کرد که در دورانی که مورینیو هدایت رئال را بر عهده داشت، به استعداد لوکاکوی 17 ساله که عضو اندرلخت بلژیک بود پی برده است اما به علت مخالفت والدین لوکاکو و تمایل آنها به ادامه تحصیل فرزندشان، این انتقال صورت نگرفته و لوکاکو در بلژیک باقی مانده است., ,البته مورینیو بعدها و در دوران حضور روملو در چلسی وی را به بی انگیزگی متهم کرد اما به نظر می رسد رابطه خوبی بین آنها برقرار است و حتی اخباری در مورد تماس سرنوشت ساز سرمربی پرتغالی برای راضی کردن لوکاکو نیز شنیده شده است.",http://www.varzesh3.com/news/1426532/مورینیو-در-رئال-مادرید-هم-به-دنبال-لوکاکو-بود
" ,به گزارش ""ورزش سه""، عملکرد درخشان امباپه در فصل قبل باعث شد تا بسیاری از تیم های بزرگ فوتبال اروپا برای جذب او وارد عمل شوند اما در این میان رئال مادرید و پاری سن ژرمن تلاش بیشتری برای جذب کیلیان نشان داده اند., , , , ,علیرغم بازگشت امباپه به تمرینات موناکو، پروسه جدایی او هنوز منتفی نشده و والدین این بازیکن جوان نیز علاقمندند وی در فرانسه بماند اما خود امباپه از کودکی رویای بازی کردن در رئال مادرید را در سر دارد., ,طبق اخبار نشریه سان، پاری سن ژرمن دستمزد هفتگی 225 هزار یورو را برای امباپه در نظر گرفته که در مقایسه با دستمزد 18 هزار یورویی فعلی او رقم هفتگی محسوب می شود., ,به هر حال رئال مادرید قصد ندارد برای جذب امباپه دست به ریسک بزرگی بزند و اگر این ستاره جوان قصد پیوستن به لوس بلانکوس را دارد، باید تقریبا دستمزدی نصف پاری سن ژرمن را دریافت کند.",http://www.varzesh3.com/news/1426556/پول-یا-عشق؛-امباپه-راهی-رئال-مادرید-می-شود؟
"به گزارش ""ورزش سه""، دو روز پیش بود که رسانه های مادریدی خبر از توافق نهایی سبایوس با رئال مادرید دادند و حتی امروز گفته شد که ستاره تیم ملی جوانان اسپانیا تست های پزشکی رئال را پشت سر خواهد گذاشت.,طبق ادعای منابع اسپانیایی، سبایوس که رئال را به بارسلونا ترجیح داد، شب گذشته وارد مادرید شده اما امروز به دلایلی نتوانست تست های پزشکی را پشت سر بگذارد و فعلا منتظر اتمام مذاکرات دو باشگاه است., , , , ,هورا، رئیس باشگاه بتیس امروز در مورد سبایوس به خبرنگاران گفت:« سبایوس با رئال مادرید به توافق رسیده و ما هم در حال مذاکره با رئال هستیم که فکر می کنم طی ساعات یا روزهای آتی همه چیز نهایی شود.,ما به سبایوس پیشنهاد تمدید دادیم ولی او قبول نکرد و زمانی که باشگاهی مثل رئال حاضر به پرداخت رقم فسخ قرارداد یا حتی بیشتر از آن می شود، دیگر کاری از دست ما ساخته نیست. برای بتیس زندگی بدون سبایوس هم ادامه دارد.», ",http://www.varzesh3.com/news/1426507/باشگاه-بتیس-انتقال-سبایوس-به-رئال-را-تایید-کرد
